tweet_english,tokenize_tweet,labels,cleaned_tweet
"Sorry, Mr. Gibran, don't ask questions that are difficult, please","['Sorry', ',', 'Mr.', 'Gibran', ',', 'do', ""n't"", 'ask', 'questions', 'that', 'are', 'difficult', ',', 'please']",negatif,", Mr. Gibran , n't questions difficult ,"
"This is what a vice presidential candidate looks like who doesn't measure his own capacity, blindly lusting after the position of awokawokawok","['This', 'is', 'what', 'a', 'vice', 'presidential', 'candidate', 'looks', 'like', 'who', 'does', ""n't"", 'measure', 'his', 'own', 'capacity', ',', 'blindly', 'lusting', 'after', 'the', 'position', 'of', 'awokawokawok']",positif,"vice presidential candidate n't measure capacity , blindly lusting position awokawokawok"
"want for the city but don't agree with the icon, oh it's not dangerous, right?","['want', 'for', 'the', 'city', 'but', 'do', ""n't"", 'agree', 'with', 'the', 'icon', ',', 'oh', 'it', ""'s"", 'not', 'dangerous', ',', 'right', '?']",positif,"city n't agree icon , 's dangerous , ?"
"What is Sgie, which became the focus after Gibran asked Cakimin Imin","['What', 'is', 'Sgie', ',', 'which', 'became', 'the', 'focus', 'after', 'Gibran', 'asked', 'Cakimin', 'Imin']",netral,"Sgie , focus Gibran Cakimin Imin"
"new post asked by Gibran Rakabuming on Cakimin Imin, this is the abbreviation for netizens' version of Sgie","['new', 'post', 'asked', 'by', 'Gibran', 'Rakabuming', 'on', 'Cakimin', 'Imin', ',', 'this', 'is', 'the', 'abbreviation', 'for', 'netizens', ""'"", 'version', 'of', 'Sgie']",netral,"post Gibran Rakabuming Cakimin Imin , abbreviation netizens ' version Sgie"
Gibran asked Cakimin Imin about efforts to increase Indonesia's ranking in SGIE during Friday's vice presidential debate. Cakimin Imin also admitted that he didn't know. Apparently this was the thing that made him confused about Gibran's question.,"['Gibran', 'asked', 'Cakimin', 'Imin', 'about', 'efforts', 'to', 'increase', 'Indonesia', ""'s"", 'ranking', 'in', 'SGIE', 'during', 'Friday', ""'s"", 'vice', 'presidential', 'debate', '.', 'Cakimin', 'Imin', 'also', 'admitted', 'that', 'he', 'did', ""n't"", 'know', '.', 'Apparently', 'this', 'was', 'the', 'thing', 'that', 'made', 'him', 'confused', 'about', 'Gibran', ""'s"", 'question', '.']",positif,Gibran Cakimin Imin efforts increase Indonesia 's ranking SGIE Friday 's vice presidential debate . Cakimin Imin admitted n't . confused Gibran 's question .
"hmm, who's the best, guys?","['hmm', ',', 'who', ""'s"", 'the', 'best', ',', 'guys', '?']",positif,"hmm , 's , guys ?"
"The state of the global Islamic economy, or what is abbreviated as Sgie, has become a topic of conversation on social media. This emerged after Sgie appeared in the vice presidential candidate debate on Friday December night.","['The', 'state', 'of', 'the', 'global', 'Islamic', 'economy', ',', 'or', 'what', 'is', 'abbreviated', 'as', 'Sgie', ',', 'has', 'become', 'a', 'topic', 'of', 'conversation', 'on', 'social', 'media', '.', 'This', 'emerged', 'after', 'Sgie', 'appeared', 'in', 'the', 'vice', 'presidential', 'candidate', 'debate', 'on', 'Friday', 'December', 'night', '.']",netral,"global Islamic economy , abbreviated Sgie , topic conversation social media . emerged Sgie appeared vice presidential candidate debate Friday December night ."
What is Sgie? Let's check the abbreviation of Sgie which Gibran asked Cakimin Imin during the vice presidential debate.,"['What', 'is', 'Sgie', '?', 'Let', ""'s"", 'check', 'the', 'abbreviation', 'of', 'Sgie', 'which', 'Gibran', 'asked', 'Cakimin', 'Imin', 'during', 'the', 'vice', 'presidential', 'debate', '.']",netral,Sgie ? 's check abbreviation Sgie Gibran Cakimin Imin vice presidential debate .
"Mr. Anies' response to last night's debate amp chatgpt don't even know what Sgie is, what was the result of last night's debate, amen, still no","['Mr.', 'Anies', ""'"", 'response', 'to', 'last', 'night', ""'s"", 'debate', 'amp', 'chatgpt', 'do', ""n't"", 'even', 'know', 'what', 'Sgie', 'is', ',', 'what', 'was', 'the', 'result', 'of', 'last', 'night', ""'s"", 'debate', ',', 'amen', ',', 'still', 'no']",negatif,"Mr. Anies ' response night 's debate amp chatgpt n't Sgie , result night 's debate , amen ,"
read the full article at,"['read', 'the', 'full', 'article', 'at']",netral,read article
gibran checkmate cakimin imin who can't answer the sgie question sorry if the question is too difficult gus in fullgt gt,"['gibran', 'checkmate', 'cakimin', 'imin', 'who', 'ca', ""n't"", 'answer', 'the', 'sgie', 'question', 'sorry', 'if', 'the', 'question', 'is', 'too', 'difficult', 'gus', 'in', 'fullgt', 'gt']",negatif,gibran checkmate cakimin imin n't answer sgie question question difficult gus fullgt
Vice Presidential Candidate Serial Number Muhaimin Iskandar alias Cakimin Imin assesses that there are many informal workers in Indonesia who are less prosperous. See the data below.,"['Vice', 'Presidential', 'Candidate', 'Serial', 'Number', 'Muhaimin', 'Iskandar', 'alias', 'Cakimin', 'Imin', 'assesses', 'that', 'there', 'are', 'many', 'informal', 'workers', 'in', 'Indonesia', 'who', 'are', 'less', 'prosperous', '.', 'See', 'the', 'data', 'below', '.']",positif,Vice Presidential Candidate Serial Muhaimin Iskandar alias Cakimin Imin assesses informal workers Indonesia prosperous . data .
Gibran's most widely praised continuum analysis,"['Gibran', ""'s"", 'most', 'widely', 'praised', 'continuum', 'analysis']",positif,Gibran 's praised continuum analysis
es ge i e sgie the gemoy is emotional,"['es', 'ge', 'i', 'e', 'sgie', 'the', 'gemoy', 'is', 'emotional']",positif,sgie gemoy emotional
"Results of the Vice Presidential Debate, R&D Survey, Cakimin Value, Imin Gibran Mahfud changed his choice later","['Results', 'of', 'the', 'Vice', 'Presidential', 'Debate', ',', 'R', '&', 'D', 'Survey', ',', 'Cakimin', 'Value', ',', 'Imin', 'Gibran', 'Mahfud', 'changed', 'his', 'choice', 'later']",positif,"Vice Presidential Debate , & Survey , Cakimin , Imin Gibran Mahfud changed choice"
different styles of cakimin imin vs gibran vs mahfud md when closing statement the only one didn't read the full cheat sheetgt gt,"['different', 'styles', 'of', 'cakimin', 'imin', 'vs', 'gibran', 'vs', 'mahfud', 'md', 'when', 'closing', 'statement', 'the', 'only', 'one', 'did', ""n't"", 'read', 'the', 'full', 'cheat', 'sheetgt', 'gt']",negatif,styles cakimin imin gibran mahfud closing statement n't read cheat sheetgt
Micro-expression expert Kirdi Putra found that vice presidential candidate number Abdul Muhaimin Iskandar or Cakimin Imin often tightened his lips during the second presidential debate.,"['Micro-expression', 'expert', 'Kirdi', 'Putra', 'found', 'that', 'vice', 'presidential', 'candidate', 'number', 'Abdul', 'Muhaimin', 'Iskandar', 'or', 'Cakimin', 'Imin', 'often', 'tightened', 'his', 'lips', 'during', 'the', 'second', 'presidential', 'debate', '.']",positif,Micro-expression expert Kirdi Putra vice presidential candidate Abdul Muhaimin Iskandar Cakimin Imin tightened lips presidential debate .
Many times Cakimin Imin said slepet click and read in full,"['Many', 'times', 'Cakimin', 'Imin', 'said', 'slepet', 'click', 'and', 'read', 'in', 'full']",netral,times Cakimin Imin slepet read
"Cakimin Imin and Gibran's argument, click and read in full","['Cakimin', 'Imin', 'and', 'Gibran', ""'s"", 'argument', ',', 'click', 'and', 'read', 'in', 'full']",negatif,"Cakimin Imin Gibran 's argument , read"
this is the slowest one,"['this', 'is', 'the', 'slowest', 'one']",netral,slowest
Responses from resource persons consisting of economic observers and success teams from each candidate pair after the Vice Presidential Ceremony held by Elshinta Radio at the South Jakarta Cafe in December,"['Responses', 'from', 'resource', 'persons', 'consisting', 'of', 'economic', 'observers', 'and', 'success', 'teams', 'from', 'each', 'candidate', 'pair', 'after', 'the', 'Vice', 'Presidential', 'Ceremony', 'held', 'by', 'Elshinta', 'Radio', 'at', 'the', 'South', 'Jakarta', 'Cafe', 'in', 'December']",positif,Responses resource persons consisting economic observers success teams candidate pair Vice Presidential Ceremony held Elshinta Radio South Jakarta Cafe December
suddenly remembered the podcast Cakimin Imin with Mas Deddy,"['suddenly', 'remembered', 'the', 'podcast', 'Cakimin', 'Imin', 'with', 'Mas', 'Deddy']",netral,suddenly remembered podcast Cakimin Imin Mas Deddy
"What is Sgie, apparently this is the meaning of Gibran's question to Cakimin Imin","['What', 'is', 'Sgie', ',', 'apparently', 'this', 'is', 'the', 'meaning', 'of', 'Gibran', ""'s"", 'question', 'to', 'Cakimin', 'Imin']",netral,"Sgie , meaning Gibran 's question Cakimin Imin"
"Sorry if Samsul makes things too difficult for you, uncle","['Sorry', 'if', 'Samsul', 'makes', 'things', 'too', 'difficult', 'for', 'you', ',', 'uncle']",negatif,"Samsul difficult , uncle"
"This is the difference between the presidential and vice presidential debates, there is a podium and writing materials","['This', 'is', 'the', 'difference', 'between', 'the', 'presidential', 'and', 'vice', 'presidential', 'debates', ',', 'there', 'is', 'a', 'podium', 'and', 'writing', 'materials']",netral,"difference presidential vice presidential debates , podium writing materials"
East Java PKB vice presidential debate gives marks to Cakimin Imin,"['East', 'Java', 'PKB', 'vice', 'presidential', 'debate', 'gives', 'marks', 'to', 'Cakimin', 'Imin']",netral,East Java PKB vice presidential debate marks Cakimin Imin
Vice presidential candidate number Gibran Rakabuming Raka was the only debate contestant who spoke in the closing session of the vice presidential debate without reading the text.,"['Vice', 'presidential', 'candidate', 'number', 'Gibran', 'Rakabuming', 'Raka', 'was', 'the', 'only', 'debate', 'contestant', 'who', 'spoke', 'in', 'the', 'closing', 'session', 'of', 'the', 'vice', 'presidential', 'debate', 'without', 'reading', 'the', 'text', '.']",positif,Vice presidential candidate Gibran Rakabuming Raka debate contestant spoke closing session vice presidential debate reading .
es ge i e sing important engrees,"['es', 'ge', 'i', 'e', 'sing', 'important', 'engrees']",positif,sing engrees
what is sgie that gibran asked cakimin imin listen to sgie's explanation which for muhaimin iskandar was confused here fa,"['what', 'is', 'sgie', 'that', 'gibran', 'asked', 'cakimin', 'imin', 'listen', 'to', 'sgie', ""'s"", 'explanation', 'which', 'for', 'muhaimin', 'iskandar', 'was', 'confused', 'here', 'fa']",negatif,sgie gibran cakimin imin listen sgie 's explanation muhaimin iskandar confused fa
Muhaimin Iskandar initiated slepetnomics as a solution to the Indonesian economy that would be proposed if he was elected as vice presidential candidate. Watch the following video.,"['Muhaimin', 'Iskandar', 'initiated', 'slepetnomics', 'as', 'a', 'solution', 'to', 'the', 'Indonesian', 'economy', 'that', 'would', 'be', 'proposed', 'if', 'he', 'was', 'elected', 'as', 'vice', 'presidential', 'candidate', '.', 'Watch', 'the', 'following', 'video', '.']",positif,Muhaimin Iskandar initiated slepetnomics solution Indonesian economy proposed elected vice presidential candidate . Watch video .
The secret of Gibran Ulti Iminmahfud,"['The', 'secret', 'of', 'Gibran', 'Ulti', 'Iminmahfud']",netral,secret Gibran Ulti Iminmahfud
Nusron admits Gibran won the first vice presidential debate,"['Nusron', 'admits', 'Gibran', 'won', 'the', 'first', 'vice', 'presidential', 'debate']",positif,Nusron admits Gibran vice presidential debate
"Gibran's maneuvers to criticize Cakimin, Imin and Mahfud in the presidential debate, from cutting the IKN cone to googling it","['Gibran', ""'s"", 'maneuvers', 'to', 'criticize', 'Cakimin', ',', 'Imin', 'and', 'Mahfud', 'in', 'the', 'presidential', 'debate', ',', 'from', 'cutting', 'the', 'IKN', 'cone', 'to', 'googling', 'it']",negatif,"Gibran 's maneuvers criticize Cakimin , Imin Mahfud presidential debate , cutting IKN cone googling"
hmm how about that?,"['hmm', 'how', 'about', 'that', '?']",netral,hmm ?
"Cakimin Imin will build a city at the level of Jakarta. This Gibran is a bit strange, isn't Surabaya when Cakimin Imin is the nickname of the vice presidential candidate, serial number Muhaimin Iskandar has via","['Cakimin', 'Imin', 'will', 'build', 'a', 'city', 'at', 'the', 'level', 'of', 'Jakarta', '.', 'This', 'Gibran', 'is', 'a', 'bit', 'strange', ',', 'is', ""n't"", 'Surabaya', 'when', 'Cakimin', 'Imin', 'is', 'the', 'nickname', 'of', 'the', 'vice', 'presidential', 'candidate', ',', 'serial', 'number', 'Muhaimin', 'Iskandar', 'has', 'via']",negatif,"Cakimin Imin build city level Jakarta . Gibran bit strange , n't Surabaya Cakimin Imin nickname vice presidential candidate , serial Muhaimin Iskandar"
Cakimin Imin amazes with his unique style of carrying a sarong at the vice presidential debate. The slepet movement as a symbol of change and disruption. Can slepet wake up Indonesia?,"['Cakimin', 'Imin', 'amazes', 'with', 'his', 'unique', 'style', 'of', 'carrying', 'a', 'sarong', 'at', 'the', 'vice', 'presidential', 'debate', '.', 'The', 'slepet', 'movement', 'as', 'a', 'symbol', 'of', 'change', 'and', 'disruption', '.', 'Can', 'slepet', 'wake', 'up', 'Indonesia', '?']",positif,Cakimin Imin amazes unique style carrying sarong vice presidential debate . slepet movement symbol change disruption . slepet wake Indonesia ?
your business doesn't need to experience failure in order to grow allow techyflare to guide you towards success contact us at,"['your', 'business', 'does', ""n't"", 'need', 'to', 'experience', 'failure', 'in', 'order', 'to', 'grow', 'allow', 'techyflare', 'to', 'guide', 'you', 'towards', 'success', 'contact', 'us', 'at']",positif,business n't experience failure grow techyflare guide success contact
"Oh, I used to support it, now I don't support it, Mas Gibran answered when asked about IKN by Cakimin Imin in the vice presidential debate tonight","['Oh', ',', 'I', 'used', 'to', 'support', 'it', ',', 'now', 'I', 'do', ""n't"", 'support', 'it', ',', 'Mas', 'Gibran', 'answered', 'when', 'asked', 'about', 'IKN', 'by', 'Cakimin', 'Imin', 'in', 'the', 'vice', 'presidential', 'debate', 'tonight']",positif,", support , n't support , Mas Gibran answered IKN Cakimin Imin vice presidential debate tonight"
"Gibran apologized to Cakimin Imin after confusing me about Sgie. ​​Sorry if the question is difficult, let's pass","['Gibran', 'apologized', 'to', 'Cakimin', 'Imin', 'after', 'confusing', 'me', 'about', 'Sgie', '.', '\u200b\u200bSorry', 'if', 'the', 'question', 'is', 'difficult', ',', 'let', ""'s"", 'pass']",negatif,"Gibran apologized Cakimin Imin confusing Sgie . ​​Sorry question difficult , 's pass"
Sgie Samsul,"['Sgie', 'Samsul']",netral,Sgie Samsul
Sgie Samsul Cakimin Imin,"['Sgie', 'Samsul', 'Cakimin', 'Imin']",netral,Sgie Samsul Cakimin Imin
The vice presidential candidates presented their respective visions and missions at the vice presidential candidate's office event on Friday,"['The', 'vice', 'presidential', 'candidates', 'presented', 'their', 'respective', 'visions', 'and', 'missions', 'at', 'the', 'vice', 'presidential', 'candidate', ""'s"", 'office', 'event', 'on', 'Friday']",positif,vice presidential candidates respective visions missions vice presidential candidate 's office event Friday
sgie stand for samsul gibran ignite emotion slept girl intercourse ejaculate girl's milk is delicious no offenses congratulations for tkn gibran look well prepared cakimin not bad mahfud stuck,"['sgie', 'stand', 'for', 'samsul', 'gibran', 'ignite', 'emotion', 'slept', 'girl', 'intercourse', 'ejaculate', 'girl', ""'s"", 'milk', 'is', 'delicious', 'no', 'offenses', 'congratulations', 'for', 'tkn', 'gibran', 'look', 'well', 'prepared', 'cakimin', 'not', 'bad', 'mahfud', 'stuck']",positif,sgie stand samsul gibran ignite emotion slept girl intercourse ejaculate girl 's milk delicious offenses congratulations tkn gibran prepared cakimin bad mahfud stuck
trillion for young people's business credit. You're sure you don't want it,"['trillion', 'for', 'young', 'people', ""'s"", 'business', 'credit', '.', 'You', ""'re"", 'sure', 'you', 'do', ""n't"", 'want', 'it']",positif,people 's business credit . 're n't
who is the MVP of the vice presidential debate tonight?,"['who', 'is', 'the', 'MVP', 'of', 'the', 'vice', 'presidential', 'debate', 'tonight', '?']",netral,MVP vice presidential debate tonight ?
Cakimin Imin Umbar build a city at the level of Jakarta,"['Cakimin', 'Imin', 'Umbar', 'build', 'a', 'city', 'at', 'the', 'level', 'of', 'Jakarta']",netral,Cakimin Imin Umbar build city level Jakarta
"illustrates that slepet, namely the movement of flicking a sarong over an object, is the same as disruption, namely a sign of massive change driven by innovation that brings business systems and arrangements to a new level.","['illustrates', 'that', 'slepet', ',', 'namely', 'the', 'movement', 'of', 'flicking', 'a', 'sarong', 'over', 'an', 'object', ',', 'is', 'the', 'same', 'as', 'disruption', ',', 'namely', 'a', 'sign', 'of', 'massive', 'change', 'driven', 'by', 'innovation', 'that', 'brings', 'business', 'systems', 'and', 'arrangements', 'to', 'a', 'new', 'level', '.']",netral,"illustrates slepet , movement flicking sarong object , disruption , sign massive change driven innovation brings business systems arrangements level ."
when Cakimin Imin got hit by Gibran,"['when', 'Cakimin', 'Imin', 'got', 'hit', 'by', 'Gibran']",netral,Cakimin Imin hit Gibran
"Gibran Gus Imin had the opportunity to inaugurate and cut the tumpeng at this IKN. How is this not consistent? Did you support it before and now doesn't because you are Mr Anies' representative who is carrying the theme of change, Cakimin Imin Bilek","['Gibran', 'Gus', 'Imin', 'had', 'the', 'opportunity', 'to', 'inaugurate', 'and', 'cut', 'the', 'tumpeng', 'at', 'this', 'IKN', '.', 'How', 'is', 'this', 'not', 'consistent', '?', 'Did', 'you', 'support', 'it', 'before', 'and', 'now', 'does', ""n't"", 'because', 'you', 'are', 'Mr', 'Anies', ""'"", 'representative', 'who', 'is', 'carrying', 'the', 'theme', 'of', 'change', ',', 'Cakimin', 'Imin', 'Bilek']",positif,"Gibran Gus Imin opportunity inaugurate cut tumpeng IKN . consistent ? support n't Anies ' representative carrying theme change , Cakimin Imin Bilek"
"So, from the results of the previous debate, I still choose WKW for the future. I hope Mr. Anies can catch the cakimin, Imin. Haha, I'll improve it again, too many blunders, poor Mr. Anies, you have to carry him, hahaha","['So', ',', 'from', 'the', 'results', 'of', 'the', 'previous', 'debate', ',', 'I', 'still', 'choose', 'WKW', 'for', 'the', 'future', '.', 'I', 'hope', 'Mr.', 'Anies', 'can', 'catch', 'the', 'cakimin', ',', 'Imin', '.', 'Haha', ',', 'I', ""'ll"", 'improve', 'it', 'again', ',', 'too', 'many', 'blunders', ',', 'poor', 'Mr.', 'Anies', ',', 'you', 'have', 'to', 'carry', 'him', ',', 'hahaha']",positif,", previous debate , choose WKW future . hope Mr. Anies catch cakimin , Imin . Haha , improve , blunders , poor Mr. Anies , carry , hahaha"
"finally finished, what do you think, who is superior, Cakimin, Imin Gibran or Mr. Mahfud, let's vote.","['finally', 'finished', ',', 'what', 'do', 'you', 'think', ',', 'who', 'is', 'superior', ',', 'Cakimin', ',', 'Imin', 'Gibran', 'or', 'Mr.', 'Mahfud', ',', 'let', ""'s"", 'vote', '.']",positif,"finally finished , , superior , Cakimin , Imin Gibran Mr. Mahfud , 's vote ."
Mahfud MD's closing statement: Government policy must prioritize the prosperity and welfare of the people and care for the poor and abandoned children. Hopefully this intention will be rewarded by God and recorded in Lauhul Mahfudz,"['Mahfud', 'MD', ""'s"", 'closing', 'statement', ':', 'Government', 'policy', 'must', 'prioritize', 'the', 'prosperity', 'and', 'welfare', 'of', 'the', 'people', 'and', 'care', 'for', 'the', 'poor', 'and', 'abandoned', 'children', '.', 'Hopefully', 'this', 'intention', 'will', 'be', 'rewarded', 'by', 'God', 'and', 'recorded', 'in', 'Lauhul', 'Mahfudz']",positif,Mahfud 's closing statement : Government policy prioritize prosperity welfare people care poor abandoned children . intention rewarded God recorded Lauhul Mahfudz
all our injustices disappeared in the final session of the vice presidential debate on Friday December. The third vice presidential candidate gave his final statement in this debate.,"['all', 'our', 'injustices', 'disappeared', 'in', 'the', 'final', 'session', 'of', 'the', 'vice', 'presidential', 'debate', 'on', 'Friday', 'December', '.', 'The', 'third', 'vice', 'presidential', 'candidate', 'gave', 'his', 'final', 'statement', 'in', 'this', 'debate', '.']",negatif,injustices disappeared final session vice presidential debate Friday December . vice presidential candidate final statement debate .
"Cakimin Imin said Jakarta implements tax exemption for education providers. Check the facts here, Medcom friends","['Cakimin', 'Imin', 'said', 'Jakarta', 'implements', 'tax', 'exemption', 'for', 'education', 'providers', '.', 'Check', 'the', 'facts', 'here', ',', 'Medcom', 'friends']",positif,"Cakimin Imin Jakarta implements tax exemption education providers . Check , Medcom friends"
"Gibran's closing statement, thank you too, Mr. Mahfud and Cakimin Imin, young people must support each other. I am sure that a golden Indonesia can be realized. Merry Christmas and New Year","['Gibran', ""'s"", 'closing', 'statement', ',', 'thank', 'you', 'too', ',', 'Mr.', 'Mahfud', 'and', 'Cakimin', 'Imin', ',', 'young', 'people', 'must', 'support', 'each', 'other', '.', 'I', 'am', 'sure', 'that', 'a', 'golden', 'Indonesia', 'can', 'be', 'realized', '.', 'Merry', 'Christmas', 'and', 'New', 'Year']",positif,"Gibran 's closing statement , , Mr. Mahfud Cakimin Imin , people support . golden Indonesia realized . Merry Christmas"
"Gibran's closing statement we must be grateful for this demographic bonus, an opportunity to increase national production towards a golden Indonesia, this opportunity only occurs once, thank you, Mr. Prabowo","['Gibran', ""'s"", 'closing', 'statement', 'we', 'must', 'be', 'grateful', 'for', 'this', 'demographic', 'bonus', ',', 'an', 'opportunity', 'to', 'increase', 'national', 'production', 'towards', 'a', 'golden', 'Indonesia', ',', 'this', 'opportunity', 'only', 'occurs', 'once', ',', 'thank', 'you', ',', 'Mr.', 'Prabowo']",positif,"Gibran 's closing statement grateful demographic bonus , opportunity increase national production golden Indonesia , opportunity occurs , , Mr. Prabowo"
best cctv fails of try not to laugh elmo,"['best', 'cctv', 'fails', 'of', 'try', 'not', 'to', 'laugh', 'elmo']",negatif,cctv fails laugh elmo
Now it has been proven that don't consider Gibran your uncle's little boy,"['Now', 'it', 'has', 'been', 'proven', 'that', 'do', ""n't"", 'consider', 'Gibran', 'your', 'uncle', ""'s"", 'little', 'boy']",netral,proven n't Gibran uncle 's boy
Cakimin's closing statement is that we will bring change in the form of equality by ensuring that Indonesia's economic development is carried out using the heart and brain,"['Cakimin', ""'s"", 'closing', 'statement', 'is', 'that', 'we', 'will', 'bring', 'change', 'in', 'the', 'form', 'of', 'equality', 'by', 'ensuring', 'that', 'Indonesia', ""'s"", 'economic', 'development', 'is', 'carried', 'out', 'using', 'the', 'heart', 'and', 'brain']",positif,Cakimin 's closing statement bring change form equality ensuring Indonesia 's economic development carried heart brain
"Cakimin Imin's closing statement in the hands of the right people, the sarong could be slow. Injustice at this time, there is no courage to implement the rules of the game that are in favor of the people. We are responsible for all our injustices.","['Cakimin', 'Imin', ""'s"", 'closing', 'statement', 'in', 'the', 'hands', 'of', 'the', 'right', 'people', ',', 'the', 'sarong', 'could', 'be', 'slow', '.', 'Injustice', 'at', 'this', 'time', ',', 'there', 'is', 'no', 'courage', 'to', 'implement', 'the', 'rules', 'of', 'the', 'game', 'that', 'are', 'in', 'favor', 'of', 'the', 'people', '.', 'We', 'are', 'responsible', 'for', 'all', 'our', 'injustices', '.']",positif,"Cakimin Imin 's closing statement hands people , sarong slow . Injustice time , courage implement rules game favor people . responsible injustices ."
who will you choose in this vice presidential debate guys? no cakimin imin no mas gibran no pak mahfud md,"['who', 'will', 'you', 'choose', 'in', 'this', 'vice', 'presidential', 'debate', 'guys', '?', 'no', 'cakimin', 'imin', 'no', 'mas', 'gibran', 'no', 'pak', 'mahfud', 'md']",negatif,choose vice presidential debate guys ? cakimin imin mas gibran pak mahfud
mini fan recommendation,"['mini', 'fan', 'recommendation']",positif,mini fan recommendation
"Cakimin Imin's answer to Gibran Indonesia, with the largest number of Muslims, has the potential to become the center of the world economy. The way the government must prepare regulations for the halal industry","['Cakimin', 'Imin', ""'s"", 'answer', 'to', 'Gibran', 'Indonesia', ',', 'with', 'the', 'largest', 'number', 'of', 'Muslims', ',', 'has', 'the', 'potential', 'to', 'become', 'the', 'center', 'of', 'the', 'world', 'economy', '.', 'The', 'way', 'the', 'government', 'must', 'prepare', 'regulations', 'for', 'the', 'halal', 'industry']",positif,"Cakimin Imin 's answer Gibran Indonesia , largest Muslims , potential center economy . government prepare regulations halal industry"
"Sir, are you watching the vice presidential debate?","['Sir', ',', 'are', 'you', 'watching', 'the', 'vice', 'presidential', 'debate', '?']",netral,"Sir , watching vice presidential debate ?"
"Gibran's question for Cakimin Imin is that we focus on developing sharia economics, we also have to understand the state of the global Islamic economy, sorry if my question is a bit difficult, okay?","['Gibran', ""'s"", 'question', 'for', 'Cakimin', 'Imin', 'is', 'that', 'we', 'focus', 'on', 'developing', 'sharia', 'economics', ',', 'we', 'also', 'have', 'to', 'understand', 'the', 'state', 'of', 'the', 'global', 'Islamic', 'economy', ',', 'sorry', 'if', 'my', 'question', 'is', 'a', 'bit', 'difficult', ',', 'okay', '?']",negatif,"Gibran 's question Cakimin Imin focus developing sharia economics , understand global Islamic economy , question bit difficult , ?"
"Cakimin Imin's answer to Gibran, frankly speaking, I don't understand what Sgie is","['Cakimin', 'Imin', ""'s"", 'answer', 'to', 'Gibran', ',', 'frankly', 'speaking', ',', 'I', 'do', ""n't"", 'understand', 'what', 'Sgie', 'is']",netral,"Cakimin Imin 's answer Gibran , frankly speaking , n't understand Sgie"
"Gibran's question for Cakimin Imin: What steps can be taken to improve Indonesia's ranking in SGIE, the state of the global Islamic economy?","['Gibran', ""'s"", 'question', 'for', 'Cakimin', 'Imin', ':', 'What', 'steps', 'can', 'be', 'taken', 'to', 'improve', 'Indonesia', ""'s"", 'ranking', 'in', 'SGIE', ',', 'the', 'state', 'of', 'the', 'global', 'Islamic', 'economy', '?']",positif,"Gibran 's question Cakimin Imin : steps improve Indonesia 's ranking SGIE , global Islamic economy ?"
with nomin slepet,"['with', 'nomin', 'slepet']",netral,nomin slepet
"slow but I don't know, most of it is rhetoric","['slow', 'but', 'I', 'do', ""n't"", 'know', ',', 'most', 'of', 'it', 'is', 'rhetoric']",netral,"slow n't , rhetoric"
Cakimin Imin is always brave with the idea of ​​slepet mantaab,"['Cakimin', 'Imin', 'is', 'always', 'brave', 'with', 'the', 'idea', 'of', '\u200b\u200bslepet', 'mantaab']",positif,Cakimin Imin brave idea ​​slepet mantaab
"Greetings Mr. Muhaimin tonight, very ready with a vision and mission","['Greetings', 'Mr.', 'Muhaimin', 'tonight', ',', 'very', 'ready', 'with', 'a', 'vision', 'and', 'mission']",positif,"Mr. Muhaimin tonight , ready vision mission"
"Mr Mahfud's answer to Cakimin Imin is true, we will carry out land redistribution, there are also a million certificates, Cakimin Imin is right, the problem is political will, the key is law enforcement","['Mr', 'Mahfud', ""'s"", 'answer', 'to', 'Cakimin', 'Imin', 'is', 'true', ',', 'we', 'will', 'carry', 'out', 'land', 'redistribution', ',', 'there', 'are', 'also', 'a', 'million', 'certificates', ',', 'Cakimin', 'Imin', 'is', 'right', ',', 'the', 'problem', 'is', 'political', 'will', ',', 'the', 'key', 'is', 'law', 'enforcement']",netral,"Mahfud 's answer Cakimin Imin true , carry land redistribution , certificates , Cakimin Imin , political , key law enforcement"
"If you listen to the vice presidential debate tonight, the answers to the rebuttals, questions, program reviews and debate ethics, and if I was asked to choose a vice presidential candidate from the candidates, I would choose Mr. Mahfud MD.","['If', 'you', 'listen', 'to', 'the', 'vice', 'presidential', 'debate', 'tonight', ',', 'the', 'answers', 'to', 'the', 'rebuttals', ',', 'questions', ',', 'program', 'reviews', 'and', 'debate', 'ethics', ',', 'and', 'if', 'I', 'was', 'asked', 'to', 'choose', 'a', 'vice', 'presidential', 'candidate', 'from', 'the', 'candidates', ',', 'I', 'would', 'choose', 'Mr.', 'Mahfud', 'MD', '.']",netral,"listen vice presidential debate tonight , answers rebuttals , questions , program reviews debate ethics , choose vice presidential candidate candidates , choose Mr. Mahfud ."
