tweet_english,labels
Cakimin Imin explains how he and Anies Baswedan can create equality by building a city at the same level as Jakarta. Watch live streaming on,positif
"Mr Mahfud's answer to Cakimin Imin was that the discussion was long, the obstacles were in the apparatus and law enforcement, efforts to achieve equality must continue to be carried out, the method is land control and land control, enforce the rules",negatif
"in the same class as the general chairman of the Islamic party and now his position has become vice presidential candidate, I don't know, wokwokwokwok",positif
"Cakimin Imin's question for Mr. Mahfud is that there is a lot of excessive land ownership among a few people, how to realize social justice from equal distribution of access and land ownership",positif
"Dad, look at your child's behavior, Anies",netral
another blunder,netral
"Gibran's manners were very polite, shaking hands and apologizing after the debate",negatif
Mas Gibran's interesting moment after the vice presidential debate,positif
"Gibran's manners are higher than everything, the moment Gibran repeatedly bowed to Cakimin Imin and Mahfud to shake hands after the debate",negatif
"I was surprised that the term wasn't Tom Lembong, that's just awesome",positif
"See, there are a lot of motorbike thieves, Gibran, simply revoke the thief's license, a very magical answer",negatif
"speech less, so why is it that if Tom Lembong gives cheats, Blio is on the team, Amin Gibran Gibranmang, it's okay to joke around.",positif
"It doesn't matter if the kid is stupid because that's the quality he had in last night's debate, but the reaction from the supporters was zero one and zero two. I'm sure no one will make VT cry on TikTok using a string song as a background sound, hahaha, the worst blunder, really",negatif
expressions of the camp after the vice presidential debate,netral
Nobody wants to make crying content for Mr. Mahfud either,negatif
"What is LFP? The success team is shouting, but the vice presidential candidate doesn't even know",positif
Can't wait for tomorrow to hold a debate supporting candidate pairs in a coffee shop. We realize that Cakimin Imin was a bit slow in the first debate. This time we are ready to debate Cakimin Imin. Raise your coffee glass.,positif
looking for running supporters,positif
"Oh my God, it's really funny that our vice presidential candidate is demanding promises. Congratulations Cakimin on last night's display score, which missed my Samsung who was also satisfied and cheering.",positif
uuhhh look at that chemistry,netral
where are you from sir?,netral
"Watch the live broadcast of the fourth vice presidential debate tonight starting at WIB, watch via live streaming here",netral
there's no end to it when it comes to making memes,negatif
If the Cakimin Imin ball uses a direct football strategy instead of tiki taka it's not dangerous ta,positif
"Tickets are sold out. It turns out that tickets are only for priority entry from WIB to WIB. After that, those who don't have tickets can enter. So don't hesitate to come even if you don't have tickets.",positif
"Attention to all supporters for tomorrow's date, let's show that we are orderly and classy supporters.",positif
It has entered this stage but the status is still coming soon to the big gathering,netral
"Anies' sweet promise that has not yet been completed, Kontl's track record",positif
"I've been working hard to demonstrate to boycott US and Israeli products, ehhh, this presidential election is the lackey of the US, the real loser, don't you?",negatif
Indonesia needs changes to the Palembang language version Bismillah script by voice over by video by,netral
don't want to wear a jacket,negatif
"This isn't true, why does it sound like that, sir?",netral
its time for indonesia change social justice people's welfare people's sovereignty its time for indonesia restoration,positif
North Lampung fought together with Abah and Chak im min choose amen choose pkb choose pkb choose amen,negatif
"eh, wow, PDIP is always looking for loopholes to gain sympathy, whether the optimistic coalition will lose or not, they are always asking Prabowo, what a talkative political party",positif
is it really just nonsense?,negatif
gasspool amen,netral
"Mistakes made by the congregation will look like the truth, no matter how rich they are, I'm sure they are in the right line",positif
Gibran's candidacy violates the code of ethics,negatif
"This is really true, what do you think?",positif
I totally agree with you too,positif
"I leave Indonesia in your hands, Mr Gangar Mahfud",negatif
Indonesia is critical of democracy,negatif
"regarding the lack of personnel and health facilities in the area, Anies Baswedan promised to ensure equality",positif
"Anies confirms the big campaign on Saturday, don't forget to drink herbal medicine",positif
This humanist and egalitarian side is what makes me firmly support it because in reality every human being is equal in the eyes of the law and the state must guarantee this equality in the form of policy.,positif
pockets are moving for change for all Indonesian people wherever they are,netral
Anies Baswedan was asked a critical question from journalists about the last debate. Cakimin Imin gave a firm response,negatif
"Cakimin Imin, after the presidential debate, said that Prabowo and Ganjar had moved to agree that the changes had passed",positif
Prabowo apologizes to Anies Muhaimin and Ganjar Mahfud in the final debate,positif
continued,netral
"Anies was called cuter in the final presidential debate, Cakimin Imin ponders Ganjar and Prabowo's answer",positif
Presidential candidate number Prabowo Subianto closed the final presidential debate by apologizing to his two rivals in the presidential election contestation,netral
anies muhaimin amen,netral
"ready to win and ready to lose, let's guard this democratic party safely, peacefully, harmoniously and fairly",positif
It's really good that I didn't look for an answer like that,positif
"This whole year's political presidential candidate debate is the most memorable in my entire life. Mixed emotions, sad, exciting, happy, annoyed, happy, amen, Anies Baswedan, Cakimin, Imin will be president.",positif
closing statement Mr Anies,netral
Aniescak Imin's final debate wore a compact jacket and black skullcap,netral
bismillah ri ri,netral
plays pair watched more compared and watched compared and watched compared and,positif
downloaded pair downloaded more compared and downloaded compared and downloaded compared and,netral
reading recommendations and upcoming issues,netral
hi everyone im made some layouts and icons template for supporting s rd stage also super late present for passing the nd stage twibbonize drive please access it,positif
"TikTokers support the chairman of the KPK rather another professor, Prof. Tuti, on Saturday night",positif
"Thank God, Gontor alumni support me, Amen",positif
"Bismillah, come on, help Dad win",positif
"You know, it's not dangerous, the chairman of the KPK is a bit different, the professor, Prof. Tuti, lit up",positif
The RT is smarter than the Konoha village head,positif
agree bro,positif
"Bismillah, based on thin research and taking a survey for fun, I will be a voter, Amen",positif
tags,netral
"message for leaders to be trustworthy, trustworthy, means to make it easier to achieve heaven, Ria Ricis Jokowi, Trustworthy President, JT Chairman of KPK",positif
"message for leaders to be trustworthy and trustworthy as a means to make it easier to achieve heaven. Ria Ricis Jokowi, Trusted by President JT",positif
"Ahead of the voting, Anies Baswedan opens the option to select a photo or program",netral
"Ahead of the Prabowo debate, I really thought about Anies' low score",negatif
The soft heart of Anies Baswedan,netral
"Oh my gosh, there's a lot of money to pay for the buzzer",negatif
So remember brother Shah Rukh Khan,netral
"great job, Mr. Dirman",positif
Amin and Ganjar Mahfud sympathizers in Depok jump to join the candidate pair,positif
great ma'am Connie,positif
"He doesn't have much money to pay the masses but look at the masses who attend voluntarily at every campaign, Dad",negatif
"Have Anies Day, hi guys, do you know what Abah Anies' track record was while he was governor of Jakarta? If not, let's join Abah Anies and Cakimin Imin around Jakarta.",negatif
"Indonesia's progress depends on its human resources. How will Indonesia progress if teachers are only paid thousands per month? The current government prefers to build lighthouse projects, it doesn't matter. IKN",positif
Mashaallah tabarakallah really good people will be welcomed with kindness and joy,positif
Anies Baswedan echoes change in Pamekasan Presidential candidate number Anies Baswedan echoes change while campaigning at Garuda Field in Palengaan Pamekasan Wednesday via,positif
prnk part used to be a farmer on a tractor prnk now the prank beck on the people's prank beck is just made into a joke,positif
number one is always in my heart,positif
hopefully it will be granted,positif
Wise tips for choosing a president. Watch the video until the end so you don't choose a leader for the next year,positif
Fanatical supporters of their idol's toys must be made clear,positif
"Mr. Amp's illustration from me in the Wizarding World version, the theme is Againts The Dark Wizard, don't forget",positif
bullshit vs commander in chief of world diplomacy,negatif
movement for change towards people's sovereignty,netral
"For small businesses, business permits are complicated and convoluted, this must be changed",netral
Mr. Anies wants to dance happily,positif
So all this time Mr Anies Baswedan and Cakimin Imin were,netral
It's hard to find work nowadays,negatif
how to measure intelligence,positif
please enlighten me from and,positif
Amin banner removed in Palembang,netral
the demands of the national team amen,netral
"At the beginning, I was almost fooled by this father",negatif
"Tnipolri and civil servants don't need to be afraid of winning, amen",positif
"When Mr. Anies finished midday prayers, the congregation immediately approached",netral
the spirit of struggle of the friends of change greets change,positif
"I've been joining this wag for a year with the intention of looking for money from perskinkeran, just for fun, open this group again, but I found something like this, but it's full of gen z tiktoks to use as content, it's not bad, go to buy cilok",positif
humanies answered the slander,netral
"Netizens have started to fulfill their promises as seen in Batam, the big videotron has been broadcast for Cakimin Imin",positif
Gibran reprimands Cakimin Imin for using plastic bottles even though this slander is a fact,netral
my first time drawing a politics related I hope it reaches you sir,positif
"Mr. Gibran, be polite",netral
"It's okay to be this close, just amen for now",positif
"Masha Allah, before the vice presidential debate, I still took time to greet and take photos with Ojol",positif
Where do you think the difference lies? Can anyone answer?,negatif
"Equal prosperity for all can be realized if there is change, Bogor agrees to win Amin in the general election",positif
anies rasyid baswedan aminno pksnomor,netral
amenno pksnumber,netral
Why doesn't Mr. PS want to shake hands with Anies even though the MC has already called Aminno PKSnumber?,negatif
"That's right, sir, our country is a democratic country, aminno pksnomor",netral
want to change social assistance to social assistance plus aminno pksnomor,positif
Any anti-baperdi presidential candidate rosting aminno pksnumber,netral
kh abdullah sahal aminno pksnomor's political message,netral
anies response to your speech ndasmu ethics prabowo aminno pks number,positif
anies received a letter from the child of the year aminno pksnomor,netral
Fery's answer when netizens said aminno pksnomor,netral
Prabowo sulks but blames Anies for not wanting to shake hands with Aminno Pksnomor,negatif
have a nies day,netral
Cakimin Imin responds to the issue of Anies' urgency in Yogyakarta whose permit was revoked,netral
anies baswedan attitude aminno pksnomor,netral
Hilarious playing games with Aminno PKSnomor volunteers,positif
the reason buzzerp is afraid that anies will become ri aminno pksnomor,netral
"Gus Min, it seems like after February, during the PKBanda congress, he will be tested. It is possible that this person will fight to become the PKB general chairman. Wow, it's scary and crowded. It's a test of strength between the axes. Who is the strongest? The PKB axis now is PKB Gus Dur vs PKB Cakimin. It's worth waiting for.",positif
"So Fedi or Fachri Cakimin has to be clear, you know",positif
"Many kyai invite us to find good leaders who can make changes for a better Indonesia without any strings attached. Come on, follow the invitation of our kyaikyai who sincerely support Aniescakimin.",positif
great job bro,positif
"Oh yeah, if you get dizzy with the buzzer, watch Cakimin's video and don't get dizzy. By the way, Mr Gangar's voice is good compared to Mr Anies hahaha",positif
"As far as I know, Cakimin and Burustini are P M II activists. When they call each other they use the term ""sahabat"" (friends) like that, cmiww, but it looks funny, doesn't it, wkwkwkwkwkwkw",positif
I've been laughing since I saw Fedi Nuril Panji Arie Kriting's typing when he was fighting with Zarry Cakimin Extratimeindo Willy,positif
Yesterday I asked to challenge Tom Lembong and Cakimin,positif
aadc what's wrong with cakimin,negatif
"Mahfud MD said the party leadership was like a duck controlled by Cakimin Imin, the supporter of the independent Amin passed by",positif
yesterday's cakimin,netral
"come on, follow the kyai nu",netral
thank God it's over,positif
Cakimin Imin salutes Jokowi's stance on not participating in the campaign,netral
"said Cakimin Imin Gibran, future leader",netral
aniescakimin predisen amen,netral
maximum effort amen wins,positif
who knows maybe Cakimin has a good voice,positif
Cakimin is just afraid that Allah turns out to be right,netral
cakimin x fedi nuril,netral
"I want to ask here, is there anyone who wants to watch Abah Anies on Jis, what date is it, please look for it together, leaving from Tambun Selatan and surrounding areas, please",positif
who is suitable to be dilan mah cakimin bjir,netral
I just realized that Anies hmi cakimin pmii means that,netral
"After this duet Cakimin ama or ndut sang, the sun shone brightly in the morning",positif
"for the buzzers, listen up",netral
I came to Cakimin,netral
"""All criticism is free, basically there are no restrictions,"" said the man who is familiarly called Cakimin Imin on Tuesday",negatif
Cakimin has to know what the war is like,negatif
"If from the long and short of the block the content is like this, the Anies Baswedan Cakimin block, the Amen block, the PKS block, what do the contents look like according to others?",negatif
"Those who don't get tickets can still get in. Why, guys, do you have the same intention to come and support Pak Anies and Cakimin?",positif
"Never mind just making his supporters often roast anis cakimin, is there anyone in another candidate like that who supports because of a vision, not because of blind love? Supporting with blind love will only give birth to a new regime.",positif
"Guys, who can't give up, because those who don't get a ticket can still enter and open the gate at the opening time or whether we can get it or not, we all come and give support to Abah and Cakimin, cheer up guys and see you guys at JIS",positif
Cakimin Imin said many people manipulate the budget percentage for education,netral
wallahi the artist is abahcakimintom lembong no need for another,negatif
"Junaedi, chairman of BEM, barbaric, born in Old Trafford, Ahok Ganjar regime, Prabowo, Anies, Gibran, Mahfud Cakimin, Jokowi, Megawati, Constitution, Kalimantan, Jakarta, Capital, Uncle, Viral, Legislative Candidate, February Valentine, Titanic, Surabaya Toll Road, Ahy, Rocky Gerung, Dragon Zodiac",netral
"healthy and healthy, bro and cakimin",positif
Cakimin Imin wants the Minister of Finance to be from a madrasa,netral
"the content is fangirling cakimin, that's okay, no j",negatif
get to know beemin closer will fill your empty space,negatif
"Bro, try it later, Cakimin will tell you to jump like this, bro",positif
complete cutlery set seulgi joshua sehun umay rector fedi nuril irene anies cakimin imin,netral
"For PKB, it doesn't matter if the presidential election is lost because in the end it will also join Prabowo Gibran's presidential election winning coalition. What's important is that Cakimin becomes vice presidential candidate. PKB's votes will increase because of the coattailed effect, so just relax, don't force yourself to win the presidential election.",positif
"What's more, it's a joke bro, people want to give an opinion on why you can't let dogs pressure you, even though there's nothing wrong with Mr Erik's answer, there's nothing wrong with Cakimin sharing hoax news if Mr Erick spreads slander in the name of Amin",positif
What you have to tell is Cakimin to think a little further so that you don't just be fooled by the tagline,positif
"You seem to be drunk, you bastard, do you understand that you are here, Cakimin, who slandered Mr. Erick for hoax news in the name of Amin and Mr. Anis said that Mr. Erick said that the BUMN would be abolished, even though Mr. Erick did not say that Amin would change the abolished BUMN into a cooperative.",negatif
"even though the one who asked the journalist a question, why is Mr Erick the one being slandered for a hoax in the name of Amin? Here, Mr Erick is only giving an opinion on the journalist's question, it's better to let them know first, Cakimin, look for information first before sharing hoax information too.",positif
"jancok, do you want me to watch the full version, where else is the successful team, Amin, who said that corporations are not bastards, which is my problem, Cakimin said that Mr. Erick spreads slander that BUMN will be disbanded, even though in reality he was only answering journalists' questions, not making statements.",positif
pithy cakimin wani,netral
"Meanwhile, the Attorney General's office is the Nasdem party that supports Aniescakimin",positif
"We are sure that Sir and Cakimin will not leave us after the car starts, so we are sure that even if we are left behind, let Allah reward us, the important thing is that we have tried.",positif
change sholawat gus dur syiir without waton cakimin imin indonesia does not belong to jokowi via,netral
Yesterday's feeling was that Gembor wouldn't support Cakimin because the one who took Gusdur's coup at the PKB congress instead joined the party of Gusdur's coup in the presidential chair.,positif
"Nini Kunti Dasamuka, Cakimin's twin, a devotee of Sakinah Mawadah Wahnambah",positif
"The only one who should be embarrassed is Cakimin, he's usually a bluder, he's sharing info, he's not researching it first, the vice presidential class is sharing, he's not researching it, he's the one who spreads hoaxes, so are you ready for people to ask questions from journalists, just answer them, OK?",positif
"OK, you have to look first before you judge the low level of human resources that exist, that's Cakimin, who has already been too lazy to share information, didn't research first, vice presidential class, why are you so short on reading the tagline?",positif
Why is Cakimin's older brother Jokowi's minister?,netral
even if sir anis amp cakimin were riamp ri they wouldn't bother with it because it's asu dahlaaah,positif
february is coming up,netral
"As supporters, we can be proud because our vice presidential candidate also has the same strong aura as the presidential candidate. Euphoria Banyuwangi proves that in one round of change",positif
viral issue of BUMN proposed to become a cooperative what is the difference between these two business organizations,netral
Games with prizes only on Spinwin Link,positif
I found the contents of the FYP to be really exciting,positif
Who is the worst vice president of Indonesia? Mr Anies A passed by,negatif
"There is Mrs. Khofifah because PKB is one of the parties that will increase its votes because it can have a coattailed effect on the presidential election and its voters remain loyal even though they don't vote for Amin in the presidential election. It's really cool, Cakimin and Nasdem's strategy for working on PKS",positif
what's wrong with Khofifah?,negatif
"From my personal point of view, it's different because after there was a sentiment of being cute from each supporter, until now I have never heard of anyone supporting Cakimin just because or because he is cute, while many of the supporters openly use being cute as a reason to choose him.",positif
"Oh, you're stupid, try opening your head first, is there still a brain or is it just a picture of anis cakimin",negatif
"why are you doing this using tickets again? This is dangerous. Yesterday, at the Anis Cakimin Sahroni and Kiki Roasting event, there were people buying tickets and then there weren't many empty seats. If you want to make a ticket counter, just go straight to JIS at dawn or at dawn, just a suggestion, OK?",positif
"In February, if you want to choose a council member, choose a council member who is supported by the parties supporting Mr. Aniscakimin, namely PKS, PKB and Nasdem.",positif
"Wow, Gibran Boruto Cakimin Imin Itachi",positif
im trying to with a good different point of view of beemin check this out,positif
So remember yesterday someone tweeted complaining about this matter and only tagged Cakimin because if you were with Dad you would have been told to be patient but if you were with Cakimin you would immediately call him out,negatif
"Absent first, there is Bayu, there is inspiration, there is Cakimin",positif
"hello Balinese, still confused about who to vote for in the general election, all the problems are the solutions, right?",negatif
"bring out the sai-style chojugigha jutsu technique in the Naruto anime. Cakimin is the sai in Naruto, smiling",positif
"Abah and Cakimin remind me of Matt Parkz, hahaha",positif
"You can't talk about it like that later in bed, bro",positif
Vice presidential candidate serial number Muhaimin Iskandar uploaded the moment when he was hugged by a father during a speech. The father was seen confidently going up to the stage and embracing Muhaimin,positif
"That's a hoax, baby",negatif
cakimin aminajadulu aniesbubble abahanies desakanies next prabowogibran with keywords prabowo prabowosubianto prabowo subianto,netral
"wow, it's really funny cakimin",positif
"In terms of religious knowledge, Cakimin Imin is more qualified. Try checking the reading of the Alfatihah between Cakimin and Pakis in several videos.",netral
"Then what's funny is that he watched Amen's TikTok and then realized that Cakimin was as cute as a child, wow, I just said that Cakimin was the real gem, he knew he agreed and laughed and kept laughing at Cakimin's video and repeated it.",positif
"In the MOBA game, the right role for Cakimin is tank",netral
rn,netral
Cakimin is cute and like Abdul,positif
"I thought that Mr Anies and Cakimin didn't understand the school of thought, maybe they were just you guys",netral
"wkwowkwown cakimin should be given background sound, gir ra move aside hit",netral
with Cakimin Imin is messing up the country but love you Cakimin,positif
"A class like Cakimin doesn't understand the jurisprudence of prayer. Look at the nyet at the bottom right corner, there is another prayer mat, maybe there is a female congregation, that's why the prayer position is like that. You are just slandering, you should unfollow a slanderer like you.",positif
"I think Mr. Anies didn't choose Ahy but chose Cakimin, why is that because you see, Ahy still doesn't have much experience, because his party is weak, because his supporters are so few that they are hurt, he left the coalition for change, maybe Mr. Anies sees that PKB's base is better than the Democrats, but I'm not updating enough.",positif
"Cakimin looks like Sonny Angel, huh?",positif
"This is with Prabowo, it's already Krauss in Dongsoke, but it's different if it's Cakimin, which is full of tenderness, thank you Cakimin, it's a cool smile for me",positif
"Pak Prabowo, Pak Anis Saminawatokna Bismillah wins",positif
Cakimin Imin was surprised by the increasing criticism from the campus towards Jokowi,negatif
"This polemic about state-owned cooperatives started from a release sent by Amin's national team and then Erick Thohir commented on it during a doorstop with journalists. Anies also denied this comment, saying it was a hoax.",negatif
Salfok Cakimin laughed at him like he was really satisfied,positif
"check the viral facts about the issue of state-owned companies being proposed to become cooperatives, fact or hoax",negatif
"for those of you who are going back and forth to question the words or promises of the candidate pairs, my advice is don't worry about your confusion, you've already answered Cakimin with a glass and firmly, if you understand, you just have to be wise and smart in choosing, don't worry, and be ahok wat your friends",positif
similar to cakimin,netral
The just leader that the Indonesian people need is Amen Cakimin,netral
ethics is no greeting change amen for Indonesia,positif
Cakimin even missed Anies,negatif
"Earlier there was a relaxing session, his wife Cakimin and Rara went up to the stage and told the story of how they first met, like a podcast",positif
ethics is no,negatif
"It's clear that Prabowo is different from Gerindra, he doesn't like Pdip's work, right? Where are the opportunities for corruption that are being explored?",positif
you're so cakimin,netral
"In this era of general elections, there is one more person that I am a fan of, Cakimin",positif
more like failing to focus on Cakimin laughing,positif
"Academics are busy criticizing the Jokowi government, Cakimin Imin warns",negatif
yesterday I loved Anies Baswed and now Anies Cakimin is all in my boss especially anyinkkkk hahaha,positif
Cakimin's laugh is really annoying hahaha,positif
healthy and healthy Mr Cakimin,positif
now,netral
ethics no,negatif
Cakimin imin ethical sanctions DKPP black mark the national political process,positif
Anies Cakimin is still the best,positif
"presidential and vice presidential candidate number one anies baswedan and muhaimin iskandar wearing presidential style suits, namely formal suits complete with ties at the final presidential election debate",positif
"If you choose a presidential candidate because you're cool, I'll give you the coolest one",positif
let's uphold the truth,positif
"So it's useless, if something is violated, you will be punished, that's how it should be, let's get students moving",negatif
there is Cakimin's child,netral
sacrificing the country's democracy for decisions that are not in accordance with the rules,netral
The people did not want to be fooled into perpetuating the power of the dynasty,negatif
bangkr cakimin laughed hahaha,positif
rejects the vice presidential candidate as ethically flawed,negatif
great job,positif
Our fake Maknae's mood is really a mood booster,negatif
This is my version of the illustration for Anies and Cakimin as support because they don't have the right to vote yet huhu but it's okay keep fighting Anies,netral
"Vice Presidential Candidate Serial Number Muhaimin Iskandar responds to the decision of the Honorary Council of General Election Organizers DKPP regarding the registration of Gibran Rakabuming as vice presidential candidate for the general election during his political safari in Solo, Central Java, Monday",positif
Cakimin's laugh is really great,positif
"Cakimin Imin criticizes the food estate concept as a complete failure, the New Order",negatif
one of the moments before the debate last night,netral
like the minions of anyg cakimin fakmen,positif
"Happy birthday to you, I wish you more success",positif
"Ya Allah, I'm a little moved, I swear the aura of mutual support makes you jealous, Dad, Cakimin, best prayers for those of you who have raised a lot of national spirit among the children of this country.",positif
beemin made the kiddos can't sleep at night since they laughed out loud lisyanurrahmii,positif
cakimin minnya minracha,netral
reject product ethical violations MK and KPU gaskeun cakimin,negatif
sorry cakimin we forgive me,positif
"That's it guys, don't like it anymore, it's not nice for Cakimin",negatif
"guys, sorry, mamak, I didn't do enough research. Cakimin is Abdul Muhaimin Iskandar, not Ahmad Muhaimin Iskandar, wait, I made a video, thank you for reminding me",positif
Cakimin Imin's response regarding Prabowo and Ganjar agreed with Anies' idea in the fifth debate,positif
It's crazy that the debate has become a song with Ekagustiwana,negatif
"Mr Prabowo wants to, but his deputy Cakimin can or not",netral
"disgraceful, but through his deputy, Pak Prabowo gained voters massively, ensuring a support base in East Java which was slowly being eroded by other candidate pairs and even more blunders",positif
"This video clearly shows money politics, sharing money during Prabowo Gibran's campaign, he was not a successful team, but during registration and debate events, he was always at the forefront with the TKN CC",positif
listen guys,netral
"his business stagnated for a year because he couldn't get credit because he wasn't in power, so what's the meaning of not needing a position but running for president every general election?",negatif
"Gibran's debate backfired with the language of the sky, this is the fact, source",netral
"in the vice presidential debate last Friday, vice presidential candidate number Gibran Rakabuming gave tips and tricks so that big projects can enter the regions",negatif
the impressive appearance of the number one vice presidential candidate in Friday's vice presidential debate,positif
"Don't worry, the Indonesian people are not easily fooled",positif
What are the original lyrics?,positif
so who do you choose?,netral
Rohingya according to presidential candidate,netral
Gibran Samsul Top,positif
"It's okay, bro, Gibran to be as cool as this",positif
"Read the full news here. Don't forget to follow other Bisniscom accounts, business friends",positif
"regarding ethics, what is the real view of the camps and the complete response from the camps in the war between the three commanders, Thursday WIB",negatif
"Has the president shown his neutrality in this general election? In your opinion, in full in the war of the three commanders, Thursday WIB",negatif
"What concrete steps will actually be taken to make Indonesia better in full in the war between the three commanders, Thursday WIB",negatif
What are your predictions if there will indeed be a change between and more in the war of the three commanders Thursday WIB,negatif
"What evidence can be produced regarding the complete lack of neutrality in the general election in the war between the three commanders, Thursday WIB?",negatif
What explanation will be revealed regarding this controversial statement in full in the war of the three commanders Thursday WIB,negatif
shopee live sale at pojokberkah watch pojokberkah live now,netral
"What answer will be given if asked about this? Watch the war of the three commanders, Thursday WIB",negatif
The TNI explained the presence of TNI Major Teddy Indrawijaya in the ranks of Prabowo Subianto's supporters in the presidential candidate debate on Tuesday. Teddy was said to be present as Prabowo's aide. Read in full,positif
Prabowo's arrogance level in the first presidential debate Jiwaru Days Miftah Gresel Setlist Game Onic New Ship No One Left Behind,negatif
I think that's right too,netral
Prabowo just shakes his hand and doesn't want to be told to lead the country innalillahi malmingan onic aceh coraline fajri mbahmu kiboy firm leader Gunung Ultra Milk Fadhil,positif
"KPU traumatized, afraid that Prabowo will smash the podium, it will become a smashed podium at night, Susanti Marshanda's sleep time is enough with one virtual presidential rest card",negatif
"everyone is tense and worried about whether Susanti Marshanda's bedtime at night, just one virtual presidential break card",negatif
Prabowo was asked about why he was so emotional and afraid of being exposed if he was the perpetrator at night. Susanti Marsanda slept at 11:00 a.m. One virtual presidential rest card was enough.,negatif
"Feri Amsari Prabowo Gibran has no capacity in the presidential candidate debate, the point is different levels bro, at night you sleep at Susanti Marshanda's hour, just one virtual presidential break card",negatif
"Supporters said they were firm, even though they were just emotional at night, Susanti Marshanda's sleep at night was enough for a virtual presidential break card",positif
"If there are people who think that Pak can't stand the opposition, that person not only doesn't know Pak Prabowo all this time but also doesn't know the history of the Indonesian nation throughout our transition to democracy.",netral
"Responding to the presidential candidate debate, watch until the end, guys, so you can laugh",positif
Prabowo's bloody trail also occurred in Papua Gacoan Anies Ginting Earthquake First Lady Kela Fajri Molly Raisa Uncrush SKS,negatif
Hendri Satrio Prabowo's appearance in yesterday's debate was empty,negatif
Interesting nickname for Pak Prabowo Gacoan Anies Bumi Ginting First Lady Kela Fajri Molly Raisa Uncrush SKS,positif
"asked about hamandre rosiade, prabowo's subordinates can't move gacoan anies ginting earthquake first lady kela fajri molly raisa uncrush sks",netral
"Look at this, Prabowo was trolled by netizens after the Anies gacoan debate, Ginting earthquake, First Lady Kela Fajri, Molly Raisa, Uncrush SKS.",netral
"In your opinion, what are the aspects that need to be prepared when you want to debate, watch the first debate scores on the metrotvnews YouTube channel link",positif
Of course Prabowo's health and fitness are things that need to be considered so that the presidential debate runs smoothly and without any obstacles,positif
"the once-annual fried issue that always comes out before the general election, of course, if it's not to graze Mr. Prabowo, let alone make it clear, yes, the reward question just wants to discredit Prabowo.",positif
"But maybe it's also because of the lack of politicians that the actions seem to be firm, brave and genuine without calculating for the sake of the progress of the nation. Maybe this behavior is what caused Gus Dur to call Prabowo the most sincere leader.",positif
"He also lacks the spirit of a politician, so as he once admitted, in the political arena he lived in after retiring from the military, he was often betrayed and even betrayed by friends and opponents.",negatif
"Apart from everything that has been done according to the law and regulations, those who have dealt with it in the past have also provided testimony and information which more or less brings Prabowo to his current condition.",netral
the idea of ​​law enforcement is clear that the law and the constitution must be enforced and implemented,positif
"I also didn't think about the question of the feelings expressed by the other two candidate pairs regarding Prabowo's idea that when the law is still and binding, the only choice is to implement it, not how he feels.",netral
Anies thinks Prabowo can't stand being in the opposition even though in reality he just listens to what Bang Andre says,netral
Maybe it's true that there's a lack of political spirit so they come here with just one goal of conveying ideas and competing ideas. Maybe Prabowo didn't think that the debate would discuss cases one by one even though the ideas should be comprehensive.,positif
"It's true that Prabowo can be calm, why are you doubting that the Kepri democracy conflict starter needs a new deputy, Ahok, Jaki, finish sehun earthquake, ngko observer",positif
"Deadly duet, arrogance, fire starter, Democratic conflict, Kepri needs new deputy, Ahok, Jaki, Abisin sehun, earthquake, Ngko Observer",negatif
"His actions during the presidential candidate debate were highlighted by the KPU, Gibran apologized, source",positif
Today Prabowo inaugurated the Garudayaksa Football Academy Gen Z Ammar Zoni,netral
"We have seen ethics and manners from the presidential and vice presidential candidates who are not arrogant, definitely Gen Z",positif
But Mr. Gibran is the only vice presidential candidate who clearly wants to try out Starling. Starbucks is traveling around consistently supporting Gen Z MSMEs.,positif
"In the first presidential debate, the three presidential candidates for the Republic of Indonesia were deemed to have not provided concrete answers and commitments for more than an hour. See the link for more details.",positif
The moment when Mr Prabowo almost danced during last night's debate,netral
reprimanded vice presidential candidate serial number for showing gestures or cheering gestures during the first presidential debate at the KPU building last Tuesday. Download on App Store & Play Store,positif
"Bang Nusron agrees with Mr Anies, but remember Mr Prabowo",positif
"According to Bang Nusron, Anies' question about ethical violations in the Constitutional Court's decision is irrelevant, why listen to Bang Nusron's explanation",netral
An interesting moment was shown by presidential candidate number two Prabowo Subianto during a break in the first presidential and vice presidential debate,positif
"psychologist prabowo's uncontrolled dancing during the debate shows serious psychological problems, trigger of democracy conflict, kepri needs new deputy, kela ahok, jaki, spends a year earthquake, observer",negatif
"after the debate, Prabowo was arrogant and arrogant, inviting blurred photos of the lighter, the democratic conflict in Kepri needed a new deputy, Ahok, Jaki, finished sehun, earthquake, ngko observer",negatif
KPU rebuked his gesture like a cheerleader during the presidential debate. This is Gibran's response,positif
Anies Prabowo's presidential candidate debate heats up. Click for full details,netral
TKN Secretary Nusron Wahid thinks that the reward question about human rights is misdirected so it should be asked who should listen to Bang Nusron's words,positif
do not spit on the plate you are eating from,netral
"stand straight with us in your line, sir",positif
fix it my friend bwaaaaaang,positif
"I'm really excited, sir",positif
there really are a lot of things like this,positif
all will be all in in time,netral
"What's a penny or a penny, Prof",netral
"It's important to pay attention, guys",positif
Prince Gibran Rakabuming's polite manners,netral
"Regarding geopolitics, including the conflict in the South China Sea, Mr. Prabowo clearly understands more because he has experience, not just theory.",positif
reward the Indonesian people,positif
